prod_id,prod_name,description
1,Laptop,High-performance laptop with SSD storage
2,Smartphone,Latest smartphone with dual-camera setup
3,Headphones,Wireless noise-canceling headphones
4,Smartwatch,Fitness tracker with heart rate monitor
5,Tablet,10-inch tablet with retina display
6,Camera,DSLR camera with 24MP sensor
7,Printer,Wireless all-in-one printer
8,Speakers,High-fidelity Bluetooth speakers
9,Gaming Console,Next-gen gaming console with 4K support
10,Router,High-speed Wi-Fi router for home or office use
